0 ['heating.device.time.offset', 'feature']
1 ['heating.dhw.oneTimeCharge', 'feature']
2 ['heating.flue.sensors', 'feature']
3 ['heating.circuits.0.sensors', 'feature']
4 ['heating.circuits.2.operating.programs.comfort', 'feature']
5 ['heating.circuits.0.operating.programs.reduced', 'feature']
6 ['heating.circuits.1.operating.programs.standby', 'feature']
7 ['heating.circuits.0.operating.programs.normal', 'feature']
8 ['heating.sensors.pressure.supply', 'feature']
9 ['heating.solar.sensors.temperature.dhw', 'feature']
10 ['heating.circuits.2.sensors.temperature.supply', 'feature']
11 ['heating.circuits.2', 'feature']
12 ['heating.circuits.0.operating.programs.active', 'feature']
13 ['device.zigbee', 'feature']
14 ['heating.errors', 'feature']
15 ['heating.valves', 'feature']
16 ['heating.circuits.3.operating.modes.standby', 'feature']
17 ['heating.circuits.2.operating.modes.dhw', 'feature']
18 ['heating.circuits.1.operating.programs', 'feature']
19 ['heating.circuits.3.operating.programs.forcedLastFromSchedule', 'feature']
20 ['heating.boiler.sensors.temperature', 'feature']
21 ['heating.configuration.houseHeatingLoad', 'feature']
22 ['heating.power.consumption', 'feature']
23 ['heating.circuits.2.heating', 'feature']
24 ['heating.circuits.1.operating.modes.heating', 'feature']
25 ['heating.dhw.temperature.main', 'feature']
26 ['heating.circuits.1.temperature', 'feature']
27 ['heating.configuration.multiFamilyHouse', 'feature']
28 ['heating.errors.active', 'feature']
29 ['heating.errors.history', 'feature']
30 ['heating.sensors.temperature.outside', 'feature']
31 ['heating.circuits.0.heating.schedule', 'feature']
32 ['heating.circuits.3.operating.programs.normal', 'feature']
33 ['heating.circuits.2.sensors.temperature', 'feature']
34 ['heating.circuits.3.heating', 'feature']
35 ['heating.gas.consumption.heating', 'feature']
36 ['heating.circuits.2.operating.modes.heating', 'feature']
37 ['heating.burner.demand.modulation', 'feature']
38 ['heating.circuits.0.frostprotection', 'feature']
39 ['heating.circuits.2.operating.programs.normal', 'feature']
40 ['heating.circuits.2.operating.modes.dhwAndHeating', 'feature']
41 ['heating.circuits.0.operating.modes.heating', 'feature']
42 ['heating.gas.consumption', 'feature']
43 ['heating.circuits.3.circulation', 'feature']
44 ['heating.heat', 'feature']
45 ['heating.circuits.1.heating', 'feature']
46 ['heating.circuits.0.heating.curve', 'feature']
47 ['heating.circuits.3.operating.modes.heating', 'feature']
48 ['heating.solar.sensors', 'feature']
49 ['heating.power.consumption.total', 'feature']
50 ['heating.circuits.3.operating.programs.comfort', 'feature']
51 ['heating.burner.modulation', 'feature']
52 ['heating.configuration.bufferCylinderSize', 'feature']
53 ['heating.configuration', 'feature']
54 ['heating.circuits.1.operating.modes.dhwAndHeating', 'feature']
55 ['heating.burner.statistics', 'feature']
56 ['heating.power.consumption.summary.dhw', 'feature']
57 ['device', 'feature']
58 ['heating.circuits.2.sensors.temperature.room', 'feature']
59 ['heating.circuits.2.operating.programs.standby', 'feature']
60 ['heating.circuits.0.sensors.temperature.supply', 'feature']
61 ['heating.circuits.2.operating.programs.screedDrying', 'feature']
62 ['heating.valves.diverter.heatDhw', 'feature']
63 ['heating.operating', 'feature']
64 ['heating.circuits.2.heating.schedule', 'feature']
65 ['heating.circuits.1.operating.programs.normal', 'feature']
66 ['heating.circuits.2.heating.curve', 'feature']
67 ['heating.burners.0', 'feature']
68 ['heating.circuits.0.temperature', 'feature']
69 ['heating.circuits.0.operating', 'feature']
70 ['heating.circuits.3.heating.schedule', 'feature']
71 ['heating.power.consumption.heating', 'feature']
72 ['heating.circuits.0.sensors.temperature.room', 'feature']
73 ['heating.circuits.1.operating.programs.comfort', 'feature']
74 ['heating.circuits.1.heating.schedule', 'feature']
75 ['heating.heat.production.summary.dhw', 'feature']
76 ['heating.circuits.3.temperature', 'feature']
77 ['heating.operating.programs.holidayAtHome', 'feature']
78 ['heating.dhw.pumps.circulation', 'feature']
79 ['heating.configuration.houseLocation', 'feature']
80 ['heating.operating.programs.holiday', 'feature']
81 ['heating.solar.power.production', 'feature']
82 ['heating.power.consumption.summary', 'feature']
83 ['heating.boiler.temperature', 'feature']
84 ['heating.circuits.2.operating.modes.standby', 'feature']
85 ['heating.circuits.1.sensors', 'feature']
86 ['heating.circuits.1.operating.programs.reduced', 'feature']
87 ['heating.circuits.1.sensors.temperature.supply', 'feature']
88 ['heating.flue', 'feature']
89 ['heating.circuits.0.circulation.schedule', 'feature']
90 ['heating.circuits', 'feature']
91 ['heating.circuits.0', 'feature']
92 ['heating.circuits.0.operating.modes.standby', 'feature']
93 ['heating.burners.0.modulation', 'feature']
94 ['heating.power.consumption.summary.heating', 'feature']
95 ['heating.gas.consumption.dhw', 'feature']
96 ['heating.dhw', 'feature']
97 ['heating.circuits.3.sensors.temperature.supply', 'feature']
98 ['heating.configuration.houseOrientation', 'feature']
99 ['heating.circuits.1.frostprotection', 'feature']
100 ['heating.dhw.sensors', 'feature']
101 ['heating.circuits.3.operating.modes.active', 'feature']
102 ['heating.circuits.0.operating.modes', 'feature']
103 ['heating.circuits.3.operating.modes.dhw', 'feature']
104 ['heating.circuits.2.circulation', 'feature']
105 ['heating.flue.sensors.temperature', 'feature']
106 ['heating.boiler.sensors.temperature.commonSupply', 'feature']
107 ['heating.circuits.0.operating.modes.dhwAndHeating', 'feature']
108 ['heating.dhw.hygiene.trigger', 'feature']
109 ['heating.circuits.3.sensors.temperature.room', 'feature']
